l_elbow_pitch,l_shoulder_pitch,r_elbow_pitch,r_shoulder_pitch,waist_yaw,timestamp
0.0,0.0,0.0,0.0,0.0,82.55999999999999
0.0,0.0,0.0,0.0,0.0,83.03999999999999
0.0,0.0,0.0,0.0,0.0,83.52
0.0,0.0,0.0,0.0,0.0,84.0
0.0,0.0,0.0,0.0,0.0,84.47999999999999
0.0,0.0,0.0,0.0,0.0,84.96
0.0,0.0,0.0,0.0,0.0,85.44
0.0,0.0,0.0,0.0,0.0,85.91999999999999
0.0,0.0,0.0,0.0,0.0,86.39999999999999
0.0,0.0,0.0,0.0,0.0,86.88
0.0,0.0,0.0,0.0,0.0,87.36
0.0,0.0,0.0,0.0,0.0,87.83999999999999
0.0,0.0,0.0,0.0,0.0,88.32
0.0,0.0,0.0,0.0,0.0,88.8
0.0,0.0,0.0,0.0,0.0,89.27999999999999
0.0,0.0,0.0,0.0,0.0,89.75999999999999
0.0,0.0,0.0,0.0,0.0,90.24
0.0,0.0,0.0,0.0,0.0,90.72
0.0,0.0,0.0,0.0,0.0,91.19999999999999
0.0,0.0,0.0,0.0,0.0,91.67999999999999
0.0,0.0,0.0,0.0,0.0,92.16
0.0,0.0,0.0,0.0,0.0,92.63999999999999
0.0,0.0,0.0,0.0,0.0,93.11999999999999
0.0,0.0,0.0,0.0,0.0,93.6
0.0,0.0,0.0,0.0,0.0,94.08
0.0,0.0,0.0,0.0,0.0,94.55999999999999
0.0,0.0,0.0,0.0,0.0,95.03999999999999
0.0,0.0,0.0,0.0,0.0,95.52
0.0,0.0,0.0,0.0,0.0,96.0
0.0,0.0,0.0,0.0,0.0,96.47999999999999
0.0,0.0,0.0,0.0,0.0,96.96
0.0,0.0,0.0,0.0,0.0,97.44
0.0,0.0,0.0,0.0,0.0,97.91999999999999
0.0,0.0,0.0,0.0,0.0,98.39999999999999
0.0,0.0,0.0,0.0,0.0,98.88
0.0,0.0,0.0,0.0,0.0,99.36
0.0,0.0,0.0,0.0,0.0,99.83999999999999
0.0,0.0,0.0,0.0,0.0,100.32
0.0,0.0,0.0,0.0,0.0,100.8
0.0,0.0,0.0,0.0,0.0,101.27999999999999
0.0,0.0,0.0,0.0,0.0,101.75999999999999
0.0,0.0,0.0,0.0,0.0,102.24
0.0,0.0,0.0,0.0,0.0,102.72
0.0,0.0,0.0,0.0,0.0,103.19999999999999
0.0,0.0,0.0,0.0,0.0,103.67999999999999
0.0,0.0,0.0,0.0,0.0,104.16
0.0,0.0,0.0,0.0,0.0,104.63999999999999
0.0,0.0,0.0,0.0,0.0,105.11999999999999
0.0,0.0,0.0,0.0,0.0,105.6
0.0,0.0,0.0,0.0,0.0,106.08
0.0,0.0,0.0,0.0,0.0,106.55999999999999
0.0,0.0,0.0,0.0,0.0,107.03999999999999
0.0,0.0,0.0,0.0,0.0,107.52
0.0,0.0,0.0,0.0,0.0,107.99999999999999
0.0,0.0,0.0,0.0,0.0,108.47999999999999
0.0,0.0,0.0,0.0,0.0,108.96
0.0,0.0,0.0,0.0,0.0,109.44
0.0,0.0,0.0,0.0,0.0,109.91999999999999
0.0,0.0,0.0,0.0,0.0,110.39999999999999
0.0,0.0,0.0,0.0,0.0,110.88
0.0,0.0,0.0,0.0,0.0,111.35999999999999
0.0,0.0,0.0,0.0,0.0,111.83999999999999
0.0,0.0,0.0,0.0,0.0,112.32
0.0,0.0,0.0,0.0,0.0,112.8
0.0,0.0,0.0,0.0,0.0,113.27999999999999
0.0,0.0,0.0,0.0,0.0,113.75999999999999
0.0,0.0,0.0,0.0,0.0,114.24
0.0,0.0,0.0,0.0,0.0,114.72
0.0,0.0,0.0,0.0,0.0,115.19999999999999
0.0,0.0,0.0,0.0,0.0,115.67999999999999
0.0,0.0,0.0,0.0,0.0,116.16
0.0,0.0,0.0,0.0,0.0,116.63999999999999
0.0,0.0,0.0,0.0,0.0,117.11999999999999
0.0,0.0,0.0,0.0,0.0,117.6
0.0,0.0,0.0,0.0,0.0,118.08
0.0,0.0,0.0,0.0,0.0,118.55999999999999
0.0,0.0,0.0,0.0,0.0,119.03999999999999
0.0,0.0,0.0,0.0,0.0,119.52
0.0,0.0,0.0,0.0,0.0,119.99999999999999
0.0,0.0,0.0,0.0,0.0,120.47999999999999
0.0,0.0,0.0,0.0,0.0,120.96
0.0,0.0,0.0,0.0,0.0,121.44
0.0,0.0,0.0,0.0,0.0,121.91999999999999
0.0,0.0,0.0,0.0,0.0,122.39999999999999
0.0,0.0,0.0,0.0,0.0,122.88
0.0,0.0,0.0,0.0,0.0,123.35999999999999
0.0,0.0,0.0,0.0,0.0,123.83999999999999
0.0,0.0,0.0,0.0,0.0,124.32
0.0,0.0,0.0,0.0,0.0,124.8
0.0,0.0,0.0,0.0,0.0,125.27999999999999
0.0,0.0,0.0,0.0,0.0,125.75999999999999
0.0,0.0,0.0,0.0,0.0,126.24
0.0,0.0,0.0,0.0,0.0,126.71999999999998
0.0,0.0,0.0,0.0,0.0,127.19999999999999
0.0,0.0,0.0,0.0,0.0,127.67999999999999
0.0,0.0,0.0,0.0,0.0,128.16
0.0,0.0,0.0,0.0,0.0,128.64
0.0,0.0,0.0,0.0,0.0,129.12
0.0,0.0,0.0,0.0,0.0,129.6
0.0,0.0,0.0,0.0,0.0,130.07999999999998
0.0,0.0,0.0,0.0,0.0,130.56
0.0,0.0,0.0,0.0,0.0,131.04
0.0,0.0,0.0,0.0,0.0,131.51999999999998
0.0,0.0,0.0,0.0,0.0,132.0
0.0,0.0,0.0,0.0,0.0,132.48
0.0,0.0,0.0,0.0,0.0,132.95999999999998
0.0,0.0,0.0,0.0,0.0,133.44
0.0,0.0,0.0,0.0,0.0,133.92
0.0,0.0,0.0,0.0,0.0,134.39999999999998
0.0,0.0,0.0,0.0,0.0,134.88
0.0,0.0,0.0,0.0,0.0,135.35999999999999
0.0,0.0,0.0,0.0,0.0,135.84
0.0,0.0,0.0,0.0,0.0,136.32
0.0,0.0,0.0,0.0,0.0,136.79999999999998
0.0,0.0,0.0,0.0,0.0,137.28
0.0,0.0,0.0,0.0,0.0,137.76
0.0,0.0,0.0,0.0,0.0,138.23999999999998
0.0,0.0,0.0,0.0,0.0,138.72
0.0,0.0,0.0,0.0,0.0,139.2
0.0,0.0,0.0,0.0,0.0,139.67999999999998
0.0,0.0,0.0,0.0,0.0,140.16
0.0,0.0,0.0,0.0,0.0,140.64
0.0,0.0,0.0,0.0,0.0,141.11999999999998
0.0,0.0,0.0,0.0,0.0,141.6
0.0,0.0,0.0,0.0,0.0,142.07999999999998
0.0,0.0,0.0,0.0,0.0,142.56
0.0,0.0,0.0,0.0,0.0,143.04
0.0,0.0,0.0,0.0,0.0,143.51999999999998
0.0,0.0,0.0,0.0,0.0,144.0
0.0,0.0,0.0,0.0,0.0,144.48
0.0,0.0,0.0,0.0,0.0,144.95999999999998
0.0,0.0,0.0,0.0,0.0,145.44
0.0,0.0,0.0,0.0,0.0,145.92
0.0,0.0,0.0,0.0,0.0,146.39999999999998
0.0,0.0,0.0,0.0,0.0,146.88
0.0,0.0,0.0,0.0,0.0,147.35999999999999
0.0,0.0,0.0,0.0,0.0,147.84
0.0,0.0,0.0,0.0,0.0,148.32
0.0,0.0,0.0,0.0,0.0,148.79999999999998
0.0,0.0,0.0,0.0,0.0,149.28
0.0,0.0,0.0,0.0,0.0,149.76
0.0,0.0,0.0,0.0,0.0,150.23999999999998
0.0,0.0,0.0,0.0,0.0,150.72
0.0,0.0,0.0,0.0,0.0,151.2
0.0,0.0,0.0,0.0,0.0,151.67999999999998
0.0,0.0,0.0,0.0,0.0,152.16
0.0,0.0,0.0,0.0,0.0,152.64
0.0,0.0,0.0,0.0,0.0,153.11999999999998
0.0,0.0,0.0,0.0,0.0,153.6
0.0,0.0,0.0,0.0,0.0,154.07999999999998
0.0,0.0,0.0,0.0,0.0,154.56
0.0,0.0,0.0,0.0,0.0,155.04
0.0,0.0,0.0,0.0,0.0,155.51999999999998
0.0,0.0,0.0,0.0,0.0,156.0
0.0,0.0,0.0,0.0,0.0,156.48
0.0,0.0,0.0,0.0,0.0,156.95999999999998
0.0,0.0,0.0,0.0,0.0,157.44
0.0,0.0,0.0,0.0,0.0,157.92
